Season,League,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts
2001,Premier-League,1,Manchester Utd,38,24,8,6,79,31,48,80
2001,Premier-League,2,Arsenal,38,20,10,8,63,38,25,70
2001,Premier-League,3,Liverpool,38,20,9,9,71,39,32,69
2001,Premier-League,4,Leeds United,38,20,8,10,64,43,21,68
2001,Premier-League,5,Ipswich Town,38,20,6,12,57,42,15,66
2001,Premier-League,6,Chelsea,38,17,10,11,68,45,23,61
2001,Premier-League,7,Sunderland,38,15,12,11,46,41,5,57
2001,Premier-League,8,Aston Villa,38,13,15,10,46,43,3,54
2001,Premier-League,9,Charlton Ath,38,14,10,14,50,57,-7,52
2001,Premier-League,10,Southampton,38,14,10,14,40,48,-8,52
2001,Premier-League,11,Newcastle Utd,38,14,9,15,44,50,-6,51
2001,Premier-League,12,Tottenham,38,13,10,15,47,54,-7,49
2001,Premier-League,13,Leicester City,38,14,6,18,39,51,-12,48
2001,Premier-League,14,Middlesbrough,38,9,15,14,44,44,0,42
2001,Premier-League,15,West Ham,38,10,12,16,45,50,-5,42
2001,Premier-League,16,Everton,38,11,9,18,45,59,-14,42
2001,Premier-League,17,Derby County,38,10,12,16,37,59,-22,42
2001,Premier-League,18,Manchester City,38,8,10,20,41,65,-24,34
2001,Premier-League,19,Coventry City,38,8,10,20,36,63,-27,34
2001,Premier-League,20,Bradford City,38,5,11,22,30,70,-40,26
2002,Premier-League,1,Arsenal,38,26,9,3,79,36,43,87
2002,Premier-League,2,Liverpool,38,24,8,6,67,30,37,80
2002,Premier-League,3,Manchester Utd,38,24,5,9,87,45,42,77
2002,Premier-League,4,Newcastle Utd,38,21,8,9,74,52,22,71
2002,Premier-League,5,Leeds United,38,18,12,8,53,37,16,66
2002,Premier-League,6,Chelsea,38,17,13,8,66,38,28,64
2002,Premier-League,7,West Ham,38,15,8,15,48,57,-9,53
2002,Premier-League,8,Aston Villa,38,12,14,12,46,47,-1,50
2002,Premier-League,9,Tottenham,38,14,8,16,49,53,-4,50
2002,Premier-League,10,Blackburn,38,12,10,16,55,51,4,46
2002,Premier-League,11,Southampton,38,12,9,17,46,54,-8,45
2002,Premier-League,12,Middlesbrough,38,12,9,17,35,47,-12,45
2002,Premier-League,13,Fulham,38,10,14,14,36,44,-8,44
